company_name,company_tier,source_name,source_url,source_type,source_bucket,source_domain,official_domain,official_domain_confidence,source_quality_score,is_official_hint,structure_hint,discovery_method,verification_status,failure_count,last_success_at,last_active_job_count,quarantine_reason,is_quarantined
액토즈소프트,중견/중소,액토즈소프트 공식 채용,https://www.actoz.com/recruit/actozian/korean,html_page,approved,www.actoz.com,actoz.com,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T14:39:19+09:00,0.0,,False
알피,중견/중소,알피 공식 채용,https://www.arpi.ai/contact-us//careers,html_page,approved,www.arpi.ai,arpi.ai,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T13:57:53+09:00,0.0,,False
에이아이네이션,중견/중소,에이아이네이션 공식 채용,https://aination.kr/recruit,html_page,approved,aination.kr,aination.kr,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T14:39:19+09:00,0.0,,False
에이엘티,중견/중소,에이엘티 공식 채용,https://alt-s.kr/recruit/list.php,html_page,approved,alt-s.kr,alt-s.kr,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T13:57:53+09:00,0.0,,False
에이엘티,중견/중소,에이엘티 공식 채용,https://alt-s.kr/recruit/talent_manag.php,html_page,approved,alt-s.kr,alt-s.kr,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T14:39:19+09:00,0.0,,False
에이치씨엔씨,중견/중소,에이치씨엔씨 공식 채용,https://hcnc.co.kr/recruit/23,html_page,approved,hcnc.co.kr,hcnc.co.kr,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T14:39:19+09:00,0.0,,False
에이치씨엔씨,중견/중소,에이치씨엔씨 공식 채용,https://hcnc.co.kr/recruit/22,html_page,approved,hcnc.co.kr,hcnc.co.kr,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T14:39:19+09:00,0.0,,False
에이치씨엔씨,중견/중소,에이치씨엔씨 공식 채용,https://hcnc.co.kr/recruit/21,html_page,approved,hcnc.co.kr,hcnc.co.kr,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T14:39:19+09:00,0.0,,False
에이텍모빌리티,중견/중소,에이텍모빌리티 공식 채용,https://atecmobility.com/recruit/talent.html,html_page,approved,atecmobility.com,atecmobility.com,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T14:39:19+09:00,0.0,,False
에이텍모빌리티,중견/중소,에이텍모빌리티 공식 채용,https://atecmobility.com/recruit/hr.html,html_page,approved,atecmobility.com,atecmobility.com,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T14:39:19+09:00,0.0,,False
에프원소프트(주),중견/중소,에프원소프트(주) 공식 채용,https://f1soft.co.kr/company/recruit.html,html_page,approved,f1soft.co.kr,f1soft.co.kr,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T14:39:19+09:00,0.0,,False
