company_name,company_tier,source_name,source_url,source_type,source_bucket,source_domain,official_domain,official_domain_confidence,source_quality_score,is_official_hint,structure_hint,discovery_method,verification_status,failure_count,last_success_at,last_active_job_count,quarantine_reason,is_quarantined
삼성전자,대기업,삼성전자 공식 채용,https://samsungcareers.com,html_page,candidate,samsungcareers.com,samsungcareers.com,0.99,0.75,True,html,official_domain_probe,성공,0.0,2026-04-12T15:04:01+09:00,0.0,,False
삼성전자,대기업,삼성전자 공식 채용,https://www.samsungcareers.com/hr,html_page,candidate,www.samsungcareers.com,samsungcareers.com,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T15:04:01+09:00,0.0,,False
(주)메디웨일,스타트업,(주)메디웨일 공식 채용,https://mediwhale.com/publication/multi-categorical-deep-learning-neural-network-to-classify-retinal-images-a-pilot-study-employing-small-database,html_page,candidate,mediwhale.com,mediwhale.com,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T15:04:01+09:00,0.0,,False
몽뷰로,스타트업,(주)몽뷰로 공식 채용,https://www.behance.net/gallery/233325221/ROG-See-Through-the-Game,html_page,candidate,www.behance.net,behance.net,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T15:04:01+09:00,0.0,,False
데이터비,스타트업,데이터비 공식 채용,https://www.engram.us/paraphrase,html_page,candidate,www.engram.us,engram.us,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T15:04:01+09:00,0.0,,False
데이콘 주식회사,스타트업,데이콘 주식회사 공식 채용,https://dacon.io/more/join,html_page,candidate,dacon.io,dacon.io,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T15:04:01+09:00,0.0,,False
데이콘 주식회사,스타트업,데이콘 주식회사 공식 채용,https://dacon.io/competitions/official/236689/overview/description,html_page,candidate,dacon.io,dacon.io,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T15:04:01+09:00,0.0,,False
데이콘 주식회사,스타트업,데이콘 주식회사 공식 채용,https://dacon.io/competitions/official/236673/overview/description,html_page,candidate,dacon.io,dacon.io,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T15:04:01+09:00,0.0,,False
도로,스타트업,도로 공식 채용,https://doroedu.net/site_join_pattern_choice,html_page,candidate,doroedu.net,doroedu.net,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T15:04:01+09:00,0.0,,False
SK텔레콤,대기업,SK텔레콤 공식 채용,https://careers.sktelecom.com,html_page,candidate,careers.sktelecom.com,sktelecom.com,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T15:04:01+09:00,0.0,,False
위메이드,대기업,위메이드 공식 채용,https://recruit.wemade.com,html_page,candidate,recruit.wemade.com,wemade.com,0.99,0.45,True,html,homepage_link_probe,실패,1.0,2026-04-12T07:51:42+09:00,0.0,,False
마이프랜차이즈,스타트업,마이프랜차이즈 공식 채용,https://myfranchise.kr/advisory/apply,html_page,candidate,myfranchise.kr,myfranchise.kr,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T15:04:01+09:00,0.0,,False
세진마인드,스타트업,세진마인드 공식 채용,https://markiny.com/join,html_page,candidate,markiny.com,markiny.com,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T15:04:01+09:00,0.0,,False
에이에스피엔,스타트업,에이에스피엔 공식 채용,https://aspn.co.kr/aspn-solution/e-hr,html_page,candidate,aspn.co.kr,aspn.co.kr,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T15:04:01+09:00,0.0,,False
(주) 윕스,중견/중소,(주) 윕스 공식 채용,https://www.wipscorp.com/join,html_page,candidate,www.wipscorp.com,wipscorp.com,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T15:04:01+09:00,0.0,,False
(주)KS한국고용정보,중견/중소,(주)KS한국고용정보 공식 채용,https://ksjob.co.kr/home/mainBiz1.hrms,html_page,candidate,ksjob.co.kr,ksjob.co.kr,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T15:04:01+09:00,0.0,,False
(주)KS한국고용정보,중견/중소,(주)KS한국고용정보 공식 채용,https://ksjob.co.kr/home/communityFreeInsert.hrms,html_page,candidate,ksjob.co.kr,ksjob.co.kr,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T15:04:01+09:00,0.0,,False
그노티,중견/중소,(주)그노티 공식 채용,https://www.gnoti.com/g-hr,html_page,candidate,www.gnoti.com,gnoti.com,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T15:04:01+09:00,0.0,,False
제트에이아이,스타트업,제트에이아이 공식 채용,https://careers.blux.ai,html_page,candidate,careers.blux.ai,blux.ai,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T15:04:01+09:00,0.0,,False
포자랩스,스타트업,포자랩스 공식 채용,https://recruit.pozalabs.com,html_page,candidate,recruit.pozalabs.com,pozalabs.com,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T15:04:01+09:00,0.0,,False
(주)모니터랩,중견/중소,(주)모니터랩 공식 채용,https://www.monitorapp.com/en/technologies/threat-hunting,html_page,candidate,www.monitorapp.com,monitorapp.com,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T15:04:01+09:00,0.0,,False
(주)심테크시스템,중견/중소,(주)심테크시스템 공식 채용,https://thinkwise.co.kr/theme/TW/learn/learn_hrd.php,html_page,candidate,thinkwise.co.kr,thinkwise.co.kr,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T15:04:01+09:00,0.0,,False
(주)워트인텔리전스,중견/중소,(주)워트인텔리전스 공식 채용,http://careers.wertcorp.com,html_page,candidate,careers.wertcorp.com,wertcorp.com,0.99,0.75,True,html,homepage_link_probe,실패,1.0,2026-04-12T07:51:42+09:00,3.0,,False
(주)클라우드앤,중견/중소,(주)클라우드앤 공식 채용,https://icloudn.net/kr/contact/online_apply.php,html_page,candidate,icloudn.net,icloudn.net,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T15:04:01+09:00,0.0,,False
(주)코코아소프트,중견/중소,(주)코코아소프트 공식 채용,https://www.cocoasoft.co.kr/apply,html_page,candidate,www.cocoasoft.co.kr,cocoasoft.co.kr,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T15:04:01+09:00,0.0,,False
LG헬로비전,중견/중소,LG헬로비전 공식 채용,https://www.lghellovision.net/customer/area/joinAreaList.do,html_page,candidate,www.lghellovision.net,lghellovision.net,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T15:04:01+09:00,0.0,,False
LG헬로비전,중견/중소,LG헬로비전 공식 채용,https://www.lghellovision.net/myhello/joinproduct/myjoinproductsh.do,html_page,candidate,www.lghellovision.net,lghellovision.net,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T15:04:01+09:00,0.0,,False
LG헬로비전,중견/중소,LG헬로비전 공식 채용,https://www.lghellovision.net/customer/joinproduct/cancelproduct.do,html_page,candidate,www.lghellovision.net,lghellovision.net,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T15:04:01+09:00,0.0,,False
금화피에스시,중견/중소,금화피에스시 공식 채용,https://geumhwa.co.kr/hr4,html_page,candidate,geumhwa.co.kr,geumhwa.co.kr,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T15:04:01+09:00,0.0,,False
금화피에스시,중견/중소,금화피에스시 공식 채용,https://geumhwa.co.kr/hr3,html_page,candidate,geumhwa.co.kr,geumhwa.co.kr,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T15:04:01+09:00,0.0,,False
